Color: 0x00ced1ff, 0x40e0d0ff
// x1, y1, z1, x2, y2, z2
Line:  2,  5,  5,  5,  2,  5
Line:  2,  5,  5,  2,  5,  0
Line:  5,  2,  5,  5,  2,  0
Line:  0,  5,  0,  2,  5,  0
Line:  5,  0,  0,  5,  2,  0
Line:  0,  2,  0,  5,  2,  0
Line:  2,  0,  0,  2,  5,  0
Line:  2,  5,  5,  0,  0,  5
Line:  5,  2,  5,  0,  0,  5
//
Line: -2,  5,  5, -5,  2,  5
Line: -2,  5,  5, -2,  5,  0
Line: -5,  2,  5, -5,  2,  0
Line:  0,  5,  0, -2,  5,  0
Line: -5,  0,  0, -5,  2,  0
Line:  0,  2,  0, -5,  2,  0
Line: -2,  0,  0, -2,  5,  0
Line: -2,  5,  5,  0,  0,  5
Line: -5,  2,  5,  0,  0,  5
Line:  2,  5,  5, -2,  5,  5
// x1, y1, z1, x2, y2, z2
Line:  2, -5,  5,  5, -2,  5
Line:  2, -5,  5,  2, -5,  0
Line:  5, -2,  5,  5, -2,  0
Line:  0, -5,  0,  2, -5,  0
Line:  5,  0,  0,  5, -2,  0
Line:  0, -2,  0,  5, -2,  0
Line:  2,  0,  0,  2, -5,  0
Line:  2, -5,  5,  0,  0,  5
Line:  5, -2,  5,  0,  0,  5
//
Line: -2, -5,  5, -5, -2,  5
Line: -2, -5,  5, -2, -5,  0
Line: -5, -2,  5, -5, -2,  0
Line:  0, -5,  0, -2, -5,  0
Line: -5,  0,  0, -5, -2,  0
Line:  0, -2,  0, -5, -2,  0
Line: -2,  0,  0, -2, -5,  0
Line: -2, -5,  5,  0,  0,  5
Line: -5, -2,  5,  0,  0,  5
Line:  2, -5,  5, -2, -5,  5
// x1, y1, z1, x2, y2, z2
Line:  2,  5, -5,  5,  2, -5
Line:  2,  5, -5,  2,  5,  0
Line:  5,  2, -5,  5,  2,  0
Line:  0,  5,  0,  2,  5,  0
Line:  5,  0,  0,  5,  2,  0
Line:  0,  2,  0,  5,  2,  0
Line:  2,  0,  0,  2,  5,  0
Line:  2,  5, -5,  0,  0, -5
Line:  5,  2, -5,  0,  0, -5
//
Line: -2,  5, -5, -5,  2, -5
Line: -2,  5, -5, -2,  5,  0
Line: -5,  2, -5, -5,  2,  0
Line:  0,  5,  0, -2,  5,  0
Line: -5,  0,  0, -5,  2,  0
Line:  0,  2,  0, -5,  2,  0
Line: -2,  0,  0, -2,  5,  0
Line: -2,  5, -5,  0,  0, -5
Line: -5,  2, -5,  0,  0, -5
Line:  2,  5, -5, -2,  5, -5 
// x1, y1, z1, x2, y2, z2
Line:  2, -5, -5,  5, -2, -5
Line:  2, -5, -5,  2, -5,  0
Line:  5, -2, -5,  5, -2,  0
Line:  0, -5,  0,  2, -5,  0
Line:  5,  0,  0,  5, -2,  0
Line:  0, -2,  0,  5, -2,  0
Line:  2,  0,  0,  2, -5,  0
Line:  2, -5, -5,  0,  0, -5
Line:  5, -2, -5,  0,  0, -5
//
Line: -2, -5, -5, -5, -2, -5
Line: -2, -5, -5, -2, -5,  0
Line: -5, -2, -5, -5, -2,  0
Line:  0, -5,  0, -2, -5,  0
Line: -5,  0,  0, -5, -2,  0
Line:  0, -2,  0, -5, -2,  0
Line: -2,  0,  0, -2, -5,  0
Line: -2, -5, -5,  0,  0, -5
Line: -5, -2, -5,  0,  0, -5
Line:  2, -5, -5, -2, -5, -5
